name,time/op (ns/op),±
Gol/512x512x100-1-16,8.20500E+08,2%
Gol/512x512x100-2-16,6.23283E+08,2%
Gol/512x512x100-3-16,5.94687E+08,4%
Gol/512x512x100-4-16,5.68878E+08,6%
